featurecla,scalerank,LABELRANK,SOVEREIGNT,SOV_A3,ADM0_DIF,LEVEL,TYPE,TLC,ADMIN,ADM0_A3,GEOU_DIF,GEOUNIT,GU_A3,SU_DIF,SUBUNIT,SU_A3,BRK_DIFF,NAME,NAME_LONG,BRK_A3,BRK_NAME,BRK_GROUP,ABBREV,POSTAL,FORMAL_EN,FORMAL_FR,NAME_CIAWF,NOTE_ADM0,NOTE_BRK,NAME_SORT,NAME_ALT,MAPCOLOR7,MAPCOLOR8,MAPCOLOR9,MAPCOLOR13,POP_EST,POP_RANK,POP_YEAR,GDP_MD,GDP_YEAR,ECONOMY,INCOME_GRP,FIPS_10,ISO_A2,ISO_A2_EH,ISO_A3,ISO_A3_EH,ISO_N3,ISO_N3_EH,UN_A3,WB_A2,WB_A3,WOE_ID,WOE_ID_EH,WOE_NOTE,ADM0_ISO,ADM0_DIFF,ADM0_TLC,ADM0_A3_US,ADM0_A3_FR,ADM0_A3_RU,ADM0_A3_ES,ADM0_A3_CN,ADM0_A3_TW,ADM0_A3_IN,ADM0_A3_NP,ADM0_A3_PK,ADM0_A3_DE,ADM0_A3_GB,ADM0_A3_BR,ADM0_A3_IL,ADM0_A3_PS,ADM0_A3_SA,ADM0_A3_EG,ADM0_A3_MA,ADM0_A3_PT,ADM0_A3_AR,ADM0_A3_JP,ADM0_A3_KO,ADM0_A3_VN,ADM0_A3_TR,ADM0_A3_ID,ADM0_A3_PL,ADM0_A3_GR,ADM0_A3_IT,ADM0_A3_NL,ADM0_A3_SE,ADM0_A3_BD,ADM0_A3_UA,ADM0_A3_UN,ADM0_A3_WB,CONTINENT,REGION_UN,SUBREGION,REGION_WB,NAME_LEN,LONG_LEN,ABBREV_LEN,TINY,HOMEPART,MIN_ZOOM,MIN_LABEL,MAX_LABEL,LABEL_X,LABEL_Y,NE_ID,WIKIDATAID,NAME_AR,NAME_BN,NAME_DE,NAME_EN,NAME_ES,NAME_FA,NAME_FR,NAME_EL,NAME_HE,NAME_HI,NAME_HU,NAME_ID,NAME_IT,NAME_JA,NAME_KO,NAME_NL,NAME_PL,NAME_PT,NAME_RU,NAME_SV,NAME_TR,NAME_UK,NAME_UR,NAME_VI,NAME_ZH,NAME_ZHT,FCLASS_ISO,TLC_DIFF,FCLASS_TLC,FCLASS_US,FCLASS_FR,FCLASS_RU,FCLASS_ES,FCLASS_CN,FCLASS_TW,FCLASS_IN,FCLASS_NP,FCLASS_PK,FCLASS_DE,FCLASS_GB,FCLASS_BR,FCLASS_IL,FCLASS_PS,FCLASS_SA,FCLASS_EG,FCLASS_MA,FCLASS_PT,FCLASS_AR,FCLASS_JP,FCLASS_KO,FCLASS_VN,FCLASS_TR,FCLASS_ID,FCLASS_PL,FCLASS_GR,FCLASS_IT,FCLASS_NL,FCLASS_SE,FCLASS_BD,FCLASS_UA,rankPop,rankArea,auxiliary_storage_labeling_positionx,auxiliary_storage_labeling_positiony,auxiliary_storage_callouts_originx,auxiliary_storage_callouts_originy,auxiliary_storage_callouts_destinationx,auxiliary_storage_callouts_destinationy
Admin-0 sovereignty,"1","4",Vanuatu,VUT,"0","2",Sovereign country,"1",Vanuatu,VUT,"0",Vanuatu,VUT,"0",Vanuatu,VUT,"0",Vanuatu,Vanuatu,VUT,Vanuatu,,Van.,VU,Republic of Vanuatu,,Vanuatu,,,Vanuatu,,"6","3","7","3",299882.0,"10","2019","934","2019",7. Least developed region,4. Lower middle income,NH,VU,VU,VUT,VUT,"548","548","548",VU,VUT,"23424907","23424907",Exact WOE match as country,VUT,,VUT,VUT,VUT,VUT,VUT,VUT,VUT,VUT,VUT,VUT,VUT,VUT,VUT,VUT,VUT,VUT,VUT,VUT,VUT,VUT,VUT,VUT,VUT,VUT,VUT,VUT,VUT,VUT,VUT,VUT,VUT,VUT,"-99","-99",Oceania,Oceania,Melanesia,East Asia & Pacific,"7","7","4","2","1",0.0,4.0,9.0,166.908762,-15.371530,"1159321421",Q686,فانواتو,ভানুয়াতু,Vanuatu,Vanuatu,Vanuatu,وانواتو,Vanuatu,Βανουάτου,ונואטו,वानूआटू,Vanuatu,Vanuatu,Vanuatu,バヌアツ,바누아투,Vanuatu,Vanuatu,Vanuatu,Вануату,Vanuatu,Vanuatu,Вануату,وانواتو,Vanuatu,瓦努阿图,萬那杜,Admin-0 country,,Admin-0 country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6","6",,,,,,
Admin-0 sovereignty,"3","6",Federated States of Micronesia,FSM,"0","2",Sovereign country,"1",Federated States of Micronesia,FSM,"0",Federated States of Micronesia,FSM,"0",Federated States of Micronesia,FSM,"0",Micronesia,Federated States of Micronesia,FSM,Micronesia,,F.S.M.,FSM,Federated States of Micronesia,,"Micronesia, Federated States of",,,"Micronesia, Federated States of",,"5","2","4","13",113815.0,"9","2019","401","2018",6. Developing region,4. Lower middle income,FM,FM,FM,FSM,FSM,"583","583","583",FM,FSM,"23424815","23424815",Exact WOE match as country,FSM,,FSM,FSM,FSM,FSM,FSM,FSM,FSM,FSM,FSM,FSM,FSM,FSM,FSM,FSM,FSM,FSM,FSM,FSM,FSM,FSM,FSM,FSM,FSM,FSM,FSM,FSM,FSM,FSM,FSM,FSM,FSM,FSM,"-99","-99",Oceania,Oceania,Micronesia,East Asia & Pacific,"10","30","6","-99","1",0.0,5.0,10.0,158.234019,6.887553,"1159320691",Q702,ولايات ميكرونيسيا المتحدة,মাইক্রোনেশিয়া যুক্তরাজ্য,Föderierte Staaten von Mikronesien,Federated States of Micronesia,Estados Federados de Micronesia,میکرونزی,États fédérés de Micronésie,Ομόσπονδες Πολιτείες της Μικρονησίας,מיקרונזיה,माइक्रोनेशिया के संघीकृत राज्य,Mikronéziai Szövetségi Államok,Mikronesia,Stati Federati di Micronesia,ミクロネシア連邦,미크로네시아 연방,Micronesia,Mikronezja,Micronésia,Микронезия,Mikronesiska federationen,Mikronezya,Мікронезія,مائیکرونیشیا,Micronesia,密克罗尼西亚联邦,密克羅尼西亞聯邦,Admin-0 country,,Admin-0 country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9","9",,,,,,
Admin-0 sovereignty,"5","6",Marshall Islands,MHL,"0","2",Sovereign country,"1",Marshall Islands,MHL,"0",Marshall Islands,MHL,"0",Marshall Islands,MHL,"0",Marshall Is.,Marshall Islands,MHL,Marshall Is.,,M. Is.,MH,Republic of the Marshall Islands,,Marshall Islands,,,Marshall Islands,,"2","5","5","3",58791.0,"8","2019","221","2018",6. Developing region,4. Lower middle income,RM,MH,MH,MHL,MHL,"584","584","584",MH,MHL,"23424932","23424932",Exact WOE match as country,MHL,,MHL,MHL,MHL,MHL,MHL,MHL,MHL,MHL,MHL,MHL,MHL,MHL,MHL,MHL,MHL,MHL,MHL,MHL,MHL,MHL,MHL,MHL,MHL,MHL,MHL,MHL,MHL,MHL,MHL,MHL,MHL,MHL,"-99","-99",Oceania,Oceania,Micronesia,East Asia & Pacific,"12","16","6","2","1",0.0,5.0,10.0,171.193609,7.082568,"1159321057",Q709,جزر مارشال,মার্শাল দ্বীপপুঞ্জ,Marshallinseln,Marshall Islands,Islas Marshall,جزایر مارشال,Îles Marshall,Νησιά Μάρσαλ,איי מרשל,मार्शल द्वीपसमूह,Marshall-szigetek,Kepulauan Marshall,Isole Marshall,マーシャル諸島,마셜 제도,Marshalleilanden,Wyspy Marshalla,Ilhas Marshall,Маршалловы Острова,Marshallöarna,Marshall Adaları,Маршаллові Острови,جزائر مارشل,Quần đảo Marshall,马绍尔群岛,馬紹爾群島,Admin-0 country,,Admin-0 country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11","12",,,,,,
Admin-0 sovereignty,"3","4",Tonga,TON,"0","2",Sovereign country,"1",Tonga,TON,"0",Tonga,TON,"0",Tonga,TON,"0",Tonga,Tonga,TON,Tonga,,Tongo,TO,Kingdom of Tonga,,Tonga,,,Tonga,,"2","1","1","8",104494.0,"9","2019","512","2019",6. Developing region,4. Lower middle income,TN,TO,TO,TON,TON,"776","776","776",TO,TON,"23424964","23424964",Exact WOE match as country,TON,,TON,TON,TON,TON,TON,TON,TON,TON,TON,TON,TON,TON,TON,TON,TON,TON,TON,TON,TON,TON,TON,TON,TON,TON,TON,TON,TON,TON,TON,TON,TON,TON,"-99","-99",Oceania,Oceania,Polynesia,East Asia & Pacific,"5","5","5","3","1",0.0,4.0,9.0,-175.163014,-21.210026,"1159321319",Q678,تونغا,টোঙ্গা,Tonga,Tonga,Tonga,تونگا,Tonga,Τόνγκα,טונגה,टोंगा,Tonga,Tonga,Tonga,トンガ,통가,Tonga,Tonga,Tonga,Тонга,Tonga,Tonga,Тонга,ٹونگا,Tonga,汤加,東加,Admin-0 country,,Admin-0 country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10","10",,,,,,
Admin-0 sovereignty,"4","3",Solomon Islands,SLB,"0","2",Sovereign country,"1",Solomon Islands,SLB,"0",Solomon Islands,SLB,"0",Solomon Islands,SLB,"0",Solomon Is.,Solomon Islands,SLB,Solomon Is.,,S. Is.,SB,,,Solomon Islands,,,Solomon Islands,,"1","4","1","6",669823.0,"11","2019","1589","2019",7. Least developed region,4. Lower middle income,BP,SB,SB,SLB,SLB,"090","090","090",SB,SLB,"23424766","23424766",Exact WOE match as country,SLB,,SLB,SLB,SLB,SLB,SLB,SLB,SLB,SLB,SLB,SLB,SLB,SLB,SLB,SLB,SLB,SLB,SLB,SLB,SLB,SLB,SLB,SLB,SLB,SLB,SLB,SLB,SLB,SLB,SLB,SLB,SLB,SLB,"-99","-99",Oceania,Oceania,Melanesia,East Asia & Pacific,"11","15","6","-99","1",0.0,3.0,8.0,159.170468,-8.029548,"1159321249",Q685,جزر سليمان,সলোমন দ্বীপপুঞ্জ,Salomonen,Solomon Islands,Islas Salomón,جزایر سلیمان,Îles Salomon,Νησιά Σολομώντα,איי שלמה,सोलोमन द्वीपसमूह,Salamon-szigetek,Kepulauan Solomon,Isole Salomone,ソロモン諸島,솔로몬 제도,Salomonseilanden,Wyspy Salomona,Ilhas Salomão,Соломоновы Острова,Salomonöarna,Solomon Adaları,Соломонові Острови,جزائر سلیمان,Quần đảo Solomon,所罗门群岛,索羅門群島,Admin-0 country,,Admin-0 country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5","4",,,,,,
Admin-0 sovereignty,"1","4",Samoa,WSM,"0","2",Sovereign country,"1",Samoa,WSM,"0",Samoa,WSM,"0",Samoa,WSM,"0",Samoa,Samoa,WSM,Samoa,,Samoa,WS,Independent State of Samoa,,Samoa,,,Samoa,,"3","3","4","6",197097.0,"9","2019","852","2019",7. Least developed region,4. Lower middle income,WS,WS,WS,WSM,WSM,"882","882","882",WS,WSM,"23424992","23424992",Exact WOE match as country,WSM,,WSM,WSM,WSM,WSM,WSM,WSM,WSM,WSM,WSM,WSM,WSM,WSM,WSM,WSM,WSM,WSM,WSM,WSM,WSM,WSM,WSM,WSM,WSM,WSM,WSM,WSM,WSM,WSM,WSM,WSM,WSM,WSM,"-99","-99",Oceania,Oceania,Polynesia,East Asia & Pacific,"5","5","5","-99","1",0.0,3.0,8.0,-172.438241,-13.639139,"1159321423",Q683,ساموا,সামোয়া,Samoa,Samoa,Samoa,ساموآ,Samoa,Σαμόα,סמואה,समोआ,Szamoa,Samoa,Samoa,サモア,사모아,Samoa,Samoa,Samoa,Самоа,Samoa,Samoa,Самоа,سامووا,Samoa,萨摩亚,薩摩亞,Admin-0 country,,Admin-0 country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7","7",,,,,,
Admin-0 sovereignty,"1","2",Papua New Guinea,PNG,"0","2",Sovereign country,"1",Papua New Guinea,PNG,"0",Papua New Guinea,PNG,"1",Papua New Guinea,PN1,"0",Papua New Guinea,Papua New Guinea,PN1,Papua New Guinea,,P.N.G.,PG,Independent State of Papua New Guinea,,Papua New Guinea,,,Papua New Guinea,,"4","2","3","1",8776109.0,"13","2019","24829","2019",6. Developing region,4. Lower middle income,PP,PG,PG,PNG,PNG,"598","598","598",PG,PNG,"23424926","23424926",Exact WOE match as country,PN1,,PN1,PNG,PNG,PNG,PNG,PNG,PNG,PNG,PNG,PNG,PNG,PNG,PNG,PNG,PNG,PNG,PNG,PNG,PNG,PNG,PNG,PNG,PNG,PNG,PNG,PNG,PNG,PNG,PNG,PNG,PNG,PNG,"-99","-99",Oceania,Oceania,Melanesia,East Asia & Pacific,"16","16","6","-99","1",0.0,2.5,7.5,143.910216,-5.695285,"1159321173",Q691,بابوا غينيا الجديدة,পাপুয়া নিউগিনি,Papua-Neuguinea,Papua New Guinea,Papúa Nueva Guinea,پاپوآ گینه نو,Papouasie-Nouvelle-Guinée,Παπούα Νέα Γουινέα,פפואה גינאה החדשה,पापुआ न्यू गिनी,Pápua Új-Guinea,Papua Nugini,Papua Nuova Guinea,パプアニューギニア,파푸아뉴기니,Papoea-Nieuw-Guinea,Papua-Nowa Gwinea,Papua-Nova Guiné,Папуа — Новая Гвинея,Papua Nya Guinea,Papua Yeni Gine,Папуа Нова Гвінея,پاپوا نیو گنی,Papua New Guinea,巴布亚新几内亚,巴布亞紐幾內亞,Admin-0 country,,Admin-0 country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","2",,,,,,
Admin-0 sovereignty,"4","6",Palau,PLW,"0","2",Sovereign country,"1",Palau,PLW,"0",Palau,PLW,"0",Palau,PLW,"0",Palau,Palau,PLW,Palau,,Palau,PW,Republic of Palau,,Palau,,,Palau,,"2","5","1","12",18008.0,"6","2019","268","2019",6. Developing region,3. Upper middle income,PS,PW,PW,PLW,PLW,"585","585","585",PW,PLW,"23424927","23424927",Exact WOE match as country,PLW,,PLW,PLW,PLW,PLW,PLW,PLW,PLW,PLW,PLW,PLW,PLW,PLW,PLW,PLW,PLW,PLW,PLW,PLW,PLW,PLW,PLW,PLW,PLW,PLW,PLW,PLW,PLW,PLW,PLW,PLW,PLW,PLW,"-99","-99",Oceania,Oceania,Micronesia,East Asia & Pacific,"5","5","5","2","1",0.0,5.0,10.0,134.580157,7.518252,"1159321171",Q695,بالاو,পালাউ,Palau,Palau,Palaos,پالائو,Palaos,Παλάου,פלאו,पलाउ,Palau,Palau,Palau,パラオ,팔라우,Palau,Palau,Palau,Палау,Palau,Palau,Республіка Палау,پلاؤ,Palau,帕劳,帛琉,Admin-0 country,,Admin-0 country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12","11",,,,,,
Admin-0 sovereignty,"1","2",New Zealand,NZ1,"0","1",Sovereignty,,New Zealand,NZ1,"0",New Zealand,NZ1,"0",New Zealand,NZ1,"0",New Zealand,New Zealand,NZ1,New Zealand,,N.Z.,NZ,,,,,,New Zealand,,"3","3","4","4",4950828.0,"12","2019","207302","2016",1. Developed region: G7,1. High income: OECD,"-99","-99",NZ,"-99",NZL,"-99","554","-099","-99","-99","-99","23424916",No WOE equivalent.,NZL,,NZL,NZ1,NZ1,NZ1,NZ1,NZ1,NZ1,NZ1,NZ1,NZ1,NZ1,NZ1,NZ1,NZ1,NZ1,NZ1,NZ1,NZ1,NZ1,NZ1,NZ1,NZ1,NZ1,NZ1,NZ1,NZ1,NZ1,NZ1,NZ1,NZ1,NZ1,NZ1,"-99","-99",Oceania,Oceania,Australia and New Zealand,East Asia & Pacific,"11","11","4","-99","1",0.0,100.0,100.0,172.787000,-39.759000,"1159321127",Q664,نيوزيلندا,নিউজিল্যান্ড,Neuseeland,New Zealand,Nueva Zelanda,نیوزیلند,Nouvelle-Zélande,Νέα Ζηλανδία,ניו זילנד,न्यूज़ीलैण्ड,Új-Zéland,Selandia Baru,Nuova Zelanda,ニュージーランド,뉴질랜드,Nieuw-Zeeland,Nowa Zelandia,Nova Zelândia,Новая Зеландия,Nya Zeeland,Yeni Zelanda,Нова Зеландія,نیوزی لینڈ,New Zealand,新西兰,新西蘭,Unrecognized,,Unrecognized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3","3",,,,,,
Admin-0 sovereignty,"3","6",Nauru,NRU,"0","2",Sovereign country,"1",Nauru,NRU,"0",Nauru,NRU,"0",Nauru,NRU,"0",Nauru,Nauru,NRU,Nauru,,Nauru,NR,Republic of Nauru,,Nauru,,,Nauru,,"3","7","6","9",12581.0,"6","2019","118","2019",6. Developing region,4. Lower middle income,NR,NR,NR,NRU,NRU,"520","520","520","-99","-99","23424912","23424912",Exact WOE match as country,NRU,,NRU,NRU,NRU,NRU,NRU,NRU,NRU,NRU,NRU,NRU,NRU,NRU,NRU,NRU,NRU,NRU,NRU,NRU,NRU,NRU,NRU,NRU,NRU,NRU,NRU,NRU,NRU,NRU,NRU,NRU,NRU,NRU,"-99","-99",Oceania,Oceania,Micronesia,East Asia & Pacific,"5","5","5","3","1",0.0,5.0,10.0,166.932644,-0.520261,"1159321123",Q697,ناورو,নাউরু,Nauru,Nauru,Nauru,نائورو,Nauru,Ναουρού,נאורו,नौरु,Nauru,Nauru,Nauru,ナウル,나우루,Nauru,Nauru,Nauru,Науру,Nauru,Nauru,Науру,ناورو,Nauru,瑙鲁,諾魯,Admin-0 country,,Admin-0 country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13","13",,,,,,
